Ticker:,Buy Date:,Seg:,1D inc:,1W inc:,1M inc:,1Y inc:,1W runup:,1M runup:
$NKE,        12/21/2020,        D,        -1.09%,       -1.1%,       -0.85%,       NaN,        5.68%,       8.3%
$NUE,        12/21/2020,        L,        -1.94%,       -3.75%,       2.99%,       NaN,        -2.73%,       3.03%
$ON,        12/21/2020,        L,        0.85%,       1.17%,       20.14%,       NaN,        2.47%,       15.09%
$PTON,        12/21/2020,        D,        11.65%,       5.4%,       7.9%,       NaN,        18.44%,       30.2%
$ROKU,        12/21/2020,        D,        0.2%,       -3.84%,       21.05%,       NaN,        9.15%,       34.53%
$SNOW,        12/21/2020,        D,        -2.48%,       -13.45%,       -19.43%,       NaN,        6.29%,       31.52%
$THO,        12/21/2020,        I,        1.55%,       -2.14%,       8.06%,       NaN,        8.16%,       7.16%
$TMO,        12/21/2020,        L,        0.5%,       -0.46%,       11.44%,       NaN,        -0.91%,       2.63%
$ZS,        12/21/2020,        L,        3.59%,       -0.13%,       7.58%,       NaN,        8.81%,       39.58%
$ABNB,        12/18/2020,        D,        3.64%,       -5.28%,       10.42%,       NaN,        12.96%,       --%
$DE,        12/18/2020,        L,        -1.09%,       -1.18%,       8.97%,       NaN,        5.84%,       5.2%
$FCX,        12/18/2020,        L,        0.93%,       0.0%,       28.75%,       NaN,        0.08%,       18.93%
$JPM,        12/18/2020,        D,        3.75%,       5.26%,       15.92%,       NaN,        -0.4%,       3.32%
$KMX,        12/18/2020,        D,        2.25%,       -7.38%,       18.5%,       NaN,        4.6%,       5.85%
$LAZR,        12/18/2020,        L,        27.26%,       12.42%,       8.07%,       NaN,        -1.78%,       170.78%
$MTZ,        12/18/2020,        L,        1.47%,       6.54%,       22.56%,       NaN,        -2.75%,       18.04%
$NET,        12/18/2020,        I,        2.86%,       -7.53%,       -2.83%,       NaN,        1.7%,       29.98%
$NKE,        12/18/2020,        D,        4.91%,       3.75%,       1.45%,       NaN,        -0.09%,       4.29%
$PIC,        12/18/2020,        F,        --%,       --%,       --%,       NaN,        --%,       --%
$SNOW,        12/18/2020,        D,        4.67%,       -9.41%,       -14.37%,       NaN,        -5.57%,       28.29%
$TSLA,        12/18/2020,        F,        -6.49%,       -4.51%,       21.52%,       NaN,        13.94%,       42.82%
$VLDR,        12/18/2020,        L,        22.97%,       12.56%,       11.31%,       NaN,        9.49%,       26.23%
$WFC,        12/18/2020,        L,        1.86%,       3.17%,       12.48%,       NaN,        -0.24%,       15.76%
$ACN,        12/17/2020,        F,        0.67%,       -2.71%,       -3.26%,       NaN,        7.44%,       8.47%
$BA,        12/17/2020,        F,        -0.67%,       -1.85%,       -4.76%,       NaN,        -5.63%,       5.33%
$CSCO,        12/17/2020,        L,        1.38%,       -0.62%,       0.83%,       NaN,        1.13%,       7.02%
$CVS,        12/17/2020,        L,        -0.06%,       -2.33%,       8.35%,       NaN,        -3.63%,       3.65%
$DOCU,        12/17/2020,        L,        -2.43%,       -0.84%,       3.87%,       NaN,        10.97%,       16.56%
$HD,        12/17/2020,        L,        -1.28%,       -1.11%,       -0.28%,       NaN,        3.46%,       0.55%
$HOME,        12/17/2020,        I,        -3.83%,       -2.49%,       34.55%,       NaN,        4.7%,       9.15%
$KTOS,        12/17/2020,        L,        2.67%,       5.22%,       19.57%,       NaN,        6.4%,       20.34%
$LEN,        12/17/2020,        F,        1.11%,       0.6%,       -2.14%,       NaN,        10.6%,       5.6%
$LOW,        12/17/2020,        L,        -0.21%,       -0.47%,       4.41%,       NaN,        2.07%,       2.3%
$LUV,        12/17/2020,        L,        -0.78%,       -0.24%,       1.12%,       NaN,        -0.88%,       1.6%
$MCK,        12/17/2020,        L,        0.37%,       -1.23%,       5.53%,       NaN,        -2.68%,       -0.42%
$SITE,        12/17/2020,        L,        2.06%,       5.48%,       8.33%,       NaN,        6.63%,       10.09%
$VEEV,        12/17/2020,        I,        -1.49%,       2.75%,       -0.66%,       NaN,        5.6%,       5.42%
$AMD,        12/16/2020,        D,        -0.01%,       -5.47%,       -8.92%,       NaN,        7.81%,       15.67%
$AVGO,        12/16/2020,        D,        0.28%,       0.13%,       4.93%,       NaN,        2.09%,       11.58%
$BA,        12/16/2020,        I,        -2.05%,       -2.74%,       -9.54%,       NaN,        -2.67%,       11.6%
$F,        12/16/2020,        L,        0.44%,       -0.55%,       8.74%,       NaN,        -4.34%,       2.73%
$HCA,        12/16/2020,        L,        1.97%,       2.66%,       4.46%,       NaN,        1.02%,       6.42%
$HD,        12/16/2020,        D,        1.62%,       0.08%,       2.23%,       NaN,        1.51%,       -3.57%
$HPQ,        12/16/2020,        L,        1.0%,       0.96%,       4.96%,       NaN,        3.41%,       18.13%
$LOW,        12/16/2020,        D,        0.21%,       -0.47%,       4.99%,       NaN,        1.92%,       0.8%
$LULU,        12/16/2020,        D,        6.33%,       -2.19%,       -5.12%,       NaN,        -0.13%,       9.44%
$MP,        12/16/2020,        I,        15.55%,       --%,       --%,       NaN,        8.04%,       --%
$MRVL,        12/16/2020,        L,        3.95%,       2.43%,       12.05%,       NaN,        6.46%,       4.62%
$MU,        12/16/2020,        D,        -1.0%,       -4.16%,       10.59%,       NaN,        2.21%,       17.99%
$NVDA,        12/16/2020,        D,        0.75%,       -1.76%,       -2.89%,       NaN,        2.41%,       -2.02%
$OKTA,        12/16/2020,        I,        4.4%,       4.84%,       -2.67%,       NaN,        11.86%,       16.68%
$PLUG,        12/16/2020,        L,        7.41%,       26.99%,       111.31%,       NaN,        6.43%,       13.84%
$QCOM,        12/16/2020,        D,        -0.14%,       -1.86%,       4.91%,       NaN,        -4.03%,       0.45%
$QRVO,        12/16/2020,        D,        0.38%,       3.84%,       11.5%,       NaN,        -0.86%,       5.73%
$SWK,        12/16/2020,        D,        1.48%,       -0.86%,       -3.8%,       NaN,        0.65%,       -3.55%
$SWKS,        12/16/2020,        D,        -1.36%,       2.17%,       3.02%,       NaN,        -0.51%,       2.88%
$AAPL,        12/15/2020,        F,        -0.05%,       3.13%,       0.81%,       NaN,        2.81%,       7.23%
$AVTR,        12/15/2020,        I,        0.29%,       -0.66%,       4.63%,       NaN,        1.22%,       2.62%
$COST,        12/15/2020,        D,        -0.66%,       -2.65%,       -2.56%,       NaN,        -1.51%,       -1.84%
$DY,        12/15/2020,        L,        0.78%,       -5.07%,       16.0%,       NaN,        8.01%,       6.92%
$LOW,        12/15/2020,        L,        -0.08%,       0.78%,       4.32%,       NaN,        7.99%,       2.57%
$LULU,        12/15/2020,        I,        1.97%,       1.12%,       -2.34%,       NaN,        -4.04%,       9.41%
$RNG,        12/15/2020,        I,        4.65%,       14.0%,       6.58%,       NaN,        1.63%,       18.85%
$SIRI,        12/15/2020,        L,        -0.31%,       -1.88%,       -8.76%,       NaN,        -3.33%,       1.91%
$TGT,        12/15/2020,        D,        0.16%,       0.55%,       15.52%,       NaN,        -0.76%,       5.24%
$TM,        12/15/2020,        L,        1.47%,       -1.36%,       -0.99%,       NaN,        10.17%,       7.93%
$TRIT,        12/15/2020,        L,        5.18%,       -17.69%,       -14.1%,       NaN,        -8.73%,       4.15%
$WMT,        12/15/2020,        D,        -0.1%,       -0.95%,       0.95%,       NaN,        -2.59%,       -3.29%
$BABA,        12/14/2020,        L,        -0.36%,       1.72%,       -8.1%,       NaN,        -3.02%,       -1.84%
$BBBY,        12/14/2020,        L,        3.5%,       2.07%,       21.99%,       NaN,        -1.56%,       -6.72%
$DKS,        12/14/2020,        L,        0.4%,       0.91%,       24.5%,       NaN,        -4.79%,       3.85%
$HOME,        12/14/2020,        L,        6.9%,       2.89%,       42.21%,       NaN,        -7.48%,       7.95%
$LDL,        12/14/2020,        I,        11.98%,       1.53%,       9.98%,       NaN,        -1.17%,       28.24%
$LVS,        12/14/2020,        D,        2.37%,       0.62%,       -2.18%,       NaN,        -4.09%,       -3.0%
$MGM,        12/14/2020,        D,        4.24%,       3.32%,       1.8%,       NaN,        -1.07%,       13.94%
$NFLX,        12/14/2020,        D,        -0.51%,       1.24%,       -2.8%,       NaN,        1.29%,       8.2%
$PIC,        12/14/2020,        L,        --%,       --%,       --%,       NaN,        --%,       --%
$PTON,        12/14/2020,        D,        4.82%,       18.44%,       37.33%,       NaN,        4.53%,       20.95%
$PXD,        12/14/2020,        L,        3.83%,       -1.96%,       15.75%,       NaN,        2.57%,       24.75%
$WYNN,        12/14/2020,        D,        6.1%,       4.65%,       0.33%,       NaN,        -3.4%,       16.65%
$ABBV,        12/11/2020,        D,        -2.01%,       -1.78%,       2.52%,       NaN,        -0.88%,       8.34%
$ACN,        12/11/2020,        D,        -0.85%,       8.31%,       5.91%,       NaN,        -3.0%,       1.27%
$AZEK,        12/11/2020,        F,        5.53%,       10.33%,       15.35%,       NaN,        2.31%,       -1.16%
$BABA,        12/11/2020,        L,        -3.22%,       -1.72%,       -14.05%,       NaN,        -1.01%,       -0.42%
$BMY,        12/11/2020,        L,        -1.24%,       3.95%,       7.0%,       NaN,        -2.55%,       -4.26%
$CHWY,        12/11/2020,        D,        -2.7%,       17.65%,       14.15%,       NaN,        13.57%,       33.07%
$ELAN,        12/11/2020,        D,        0.21%,       4.75%,       10.09%,       NaN,        -2.48%,       -4.4%
$GIS,        12/11/2020,        D,        0.05%,       0.13%,       -6.32%,       NaN,        -1.85%,       -0.95%
$HPQ,        12/11/2020,        L,        0.43%,       5.84%,       11.55%,       NaN,        -2.82%,       19.37%
$INSG,        12/11/2020,        I,        10.17%,       4.65%,       4.29%,       NaN,        28.84%,       50.05%
$JBL,        12/11/2020,        D,        1.74%,       7.09%,       12.67%,       NaN,        -2.29%,       6.11%
$JD,        12/11/2020,        L,        -3.21%,       -1.31%,       9.41%,       NaN,        -3.03%,       -0.28%
$NKE,        12/11/2020,        D,        -0.82%,       -0.09%,       7.02%,       NaN,        0.16%,       7.64%
$NVDA,        12/11/2020,        L,        2.27%,       1.99%,       4.67%,       NaN,        -4.02%,       -3.02%
$CAKE,        12/10/2020,        L,        -2.47%,       -2.26%,       0.76%,       NaN,        -3.35%,       1.01%
$CVS,        12/10/2020,        L,        -0.87%,       -3.63%,       5.35%,       NaN,        -0.43%,       2.82%
$DIS,        12/10/2020,        L,        13.59%,       12.19%,       15.77%,       NaN,        0.95%,       8.85%
$EW,        12/10/2020,        I,        -2.95%,       -0.25%,       3.03%,       NaN,        3.69%,       6.81%
$SFIX,        12/10/2020,        I,        1.44%,       16.15%,       -4.53%,       NaN,        55.57%,       56.6%
$TSLA,        12/10/2020,        D,        -2.72%,       4.6%,       29.36%,       NaN,        5.68%,       52.81%
$BILL,        12/09/2020,        L,        3.87%,       8.09%,       5.21%,       NaN,        12.15%,       35.59%
$CLH,        12/09/2020,        L,        0.34%,       -2.14%,       10.31%,       NaN,        2.23%,       6.44%
$COUP,        12/09/2020,        L,        2.4%,       9.33%,       12.27%,       NaN,        -4.48%,       7.61%
$CVX,        12/09/2020,        I,        3.22%,       -1.93%,       0.71%,       NaN,        0.63%,       13.9%
$DXCM,        12/09/2020,        I,        4.14%,       5.69%,       16.41%,       NaN,        0.06%,       -3.04%
$MTCH,        12/09/2020,        L,        2.65%,       7.23%,       5.76%,       NaN,        3.3%,       4.59%
$CHWY,        12/08/2020,        I,        -4.52%,       15.14%,       23.79%,       NaN,        5.06%,       12.56%
$ETSY,        12/08/2020,        D,        -2.89%,       8.43%,       4.16%,       NaN,        6.01%,       12.09%
$HAIN,        12/08/2020,        I,        -2.88%,       -0.92%,       5.53%,       NaN,        -0.55%,       17.19%
$LH,        12/08/2020,        L,        0.13%,       1.82%,       8.01%,       NaN,        0.32%,       -5.53%
$NFLX,        12/08/2020,        D,        -3.72%,       1.39%,       -0.74%,       NaN,        1.6%,       -0.4%
$OKTA,        12/08/2020,        D,        -7.47%,       1.6%,       -0.12%,       NaN,        5.97%,       7.66%
$PVH,        12/08/2020,        L,        2.16%,       4.2%,       15.07%,       NaN,        12.08%,       55.13%
$PYPL,        12/08/2020,        D,        -2.83%,       2.15%,       8.34%,       NaN,        0.18%,       7.01%
$ROKU,        12/08/2020,        D,        0.03%,       4.58%,       23.9%,       NaN,        7.15%,       20.83%
$SNOW,        12/08/2020,        D,        -4.81%,       -15.74%,       -22.0%,       NaN,        27.6%,       47.17%
$TSLA,        12/08/2020,        D,        -6.99%,       -2.56%,       25.57%,       NaN,        11.14%,       51.15%
$ZM,        12/08/2020,        D,        -6.47%,       -3.05%,       -16.87%,       NaN,        1.4%,       -17.62%
$APG,        12/07/2020,        I,        4.13%,       5.74%,       4.25%,       NaN,        7.87%,       14.21%
$DPZ,        12/07/2020,        L,        0.56%,       -0.34%,       0.08%,       NaN,        -2.04%,       -3.83%
$LEN,        12/07/2020,        L,        -5.02%,       -2.16%,       -3.98%,       NaN,        0.62%,       0.98%
$NOW,        12/07/2020,        I,        1.69%,       -0.14%,       -4.88%,       NaN,        -0.24%,       -0.36%
$VRT,        12/07/2020,        L,        2.68%,       -1.86%,       -5.88%,       NaN,        3.63%,       14.33%
$AXP,        12/02/2020,        D,        0.65%,       -0.52%,       -3.51%,       NaN,        1.45%,       30.97%
$BA,        12/02/2020,        D,        5.96%,       3.67%,       -9.44%,       NaN,        2.87%,       50.64%
$CVX,        12/02/2020,        D,        -0.08%,       0.63%,       -5.74%,       NaN,        -2.46%,       24.56%
$DIS,        12/02/2020,        D,        -0.24%,       0.53%,       15.67%,       NaN,        3.03%,       27.87%
$EBS,        12/02/2020,        L,        0.61%,       -0.99%,       13.61%,       NaN,        1.92%,       -10.04%
$IPG,        12/02/2020,        L,        2.11%,       2.16%,       -0.26%,       NaN,        0.39%,       22.62%
$PVH,        12/02/2020,        I,        5.82%,       12.45%,       15.86%,       NaN,        -1.69%,       39.35%
$PXD,        12/02/2020,        D,        3.76%,       12.71%,       11.77%,       NaN,        -7.67%,       22.62%
$UAL,        12/02/2020,        D,        6.81%,       2.76%,       -10.91%,       NaN,        2.39%,       38.34%
$XPO,        12/02/2020,        I,        5.81%,       9.26%,       5.92%,       NaN,        4.35%,       21.65%
$AAPL,        12/01/2020,        D,        0.29%,       1.35%,       8.12%,       NaN,        6.56%,       12.73%
$CRM,        12/01/2020,        I,        -8.52%,       -5.59%,       -7.8%,       NaN,        -7.47%,       3.91%
$FB,        12/01/2020,        D,        0.34%,       -1.1%,       -4.67%,       NaN,        3.48%,       8.91%
$FDX,        12/01/2020,        D,        1.38%,       4.76%,       -9.78%,       NaN,        -1.34%,       10.9%
$MU,        12/01/2020,        D,        3.03%,       9.11%,       12.08%,       NaN,        4.89%,       33.25%
$NFLX,        12/01/2020,        D,        -0.24%,       1.6%,       7.16%,       NaN,        4.49%,       6.06%
$ROKU,        12/01/2020,        L,        -1.53%,       7.15%,       16.21%,       NaN,        4.65%,       41.16%
$ZM,        12/01/2020,        D,        1.61%,       1.4%,       -16.98%,       NaN,        -4.97%,       -11.85%
$AAPL,        11/30/2020,        D,        3.08%,       3.95%,       12.32%,       NaN,        4.57%,       9.36%
$CMI,        11/30/2020,        D,        -0.35%,       -5.23%,       -2.67%,       NaN,        -1.72%,       5.13%
$CVNA,        11/30/2020,        I,        0.37%,       3.47%,       0.05%,       NaN,        4.22%,       34.99%
$DELL,        11/30/2020,        I,        2.16%,       1.96%,       5.03%,       NaN,        -0.5%,       14.55%
$FB,        11/30/2020,        D,        3.46%,       3.11%,       -1.84%,       NaN,        3.18%,       5.27%
$INFO,        11/30/2020,        I,        -5.89%,       -6.68%,       -11.0%,       NaN,        6.19%,       22.99%
$LIN,        11/30/2020,        D,        0.97%,       -2.59%,       2.09%,       NaN,        1.7%,       16.37%
$LMND,        11/30/2020,        L,        -8.11%,       32.41%,       87.51%,       NaN,        7.85%,       37.74%
$NFLX,        11/30/2020,        D,        2.83%,       5.11%,       6.91%,       NaN,        2.95%,       3.14%
$OLN,        11/30/2020,        L,        -1.23%,       2.6%,       13.84%,       NaN,        -2.8%,       32.27%
$SPGI,        11/30/2020,        I,        -4.96%,       -4.42%,       -8.0%,       NaN,        4.35%,       9.0%
$TSLA,        11/30/2020,        F,        3.02%,       13.07%,       22.41%,       NaN,        8.77%,       46.27%
$CNC,        11/24/2020,        L,        -1.89%,       -0.82%,       -8.47%,       NaN,        -5.78%,       -5.98%
$CVX,        11/24/2020,        D,        -3.64%,       -8.54%,       -10.76%,       NaN,        9.86%,       31.76%
$DXCM,        11/24/2020,        L,        -0.25%,       4.6%,       13.31%,       NaN,        -6.29%,       -23.77%
$GE,        11/24/2020,        D,        0.48%,       -2.87%,       1.91%,       NaN,        7.95%,       36.96%
$HPQ,        11/24/2020,        I,        2.3%,       2.9%,       11.54%,       NaN,        6.1%,       13.76%
$NIU,        11/24/2020,        D,        -6.34%,       -14.68%,       -14.47%,       NaN,        -2.65%,       21.02%
$PXD,        11/24/2020,        D,        -1.25%,       -10.37%,       1.02%,       NaN,        16.1%,       30.17%
$TGH,        11/24/2020,        D,        -1.73%,       -3.24%,       -0.16%,       NaN,        5.23%,       16.38%
$AAPL,        11/23/2020,        D,        1.16%,       4.57%,       15.03%,       NaN,        -5.36%,       -1.03%
$AMN,        11/23/2020,        I,        6.25%,       5.01%,       12.22%,       NaN,        1.16%,       -6.71%
$BA,        11/23/2020,        D,        3.29%,       -0.39%,       3.86%,       NaN,        4.51%,       26.39%
$COST,        11/23/2020,        D,        0.66%,       2.64%,       -5.19%,       NaN,        0.51%,       1.9%
$CVX,        11/23/2020,        D,        5.04%,       -4.23%,       -5.87%,       NaN,        2.33%,       25.44%
$DIS,        11/23/2020,        D,        3.77%,       1.39%,       18.89%,       NaN,        0.91%,       13.74%
$FRT,        11/23/2020,        D,        0.58%,       -6.29%,       -7.48%,       NaN,        0.36%,       21.31%
$GPS,        11/23/2020,        D,        3.11%,       -19.57%,       -20.57%,       NaN,        7.86%,       21.66%
$HON,        11/23/2020,        D,        1.62%,       -0.32%,       2.64%,       NaN,        -1.92%,       16.54%
$LB,        11/23/2020,        D,        -0.73%,       -2.93%,       -1.98%,       NaN,        15.02%,       15.02%
$M,        11/23/2020,        D,        4.32%,       -1.92%,       6.92%,       NaN,        29.8%,       43.98%
$MA,        11/23/2020,        D,        3.12%,       1.35%,       -0.85%,       NaN,        -1.02%,       0.74%
$MCK,        11/23/2020,        D,        3.61%,       3.71%,       -1.97%,       NaN,        -5.54%,       10.91%
$NCLH,        11/23/2020,        D,        7.95%,       9.48%,       17.28%,       NaN,        -1.97%,       13.84%
$NXPI,        11/23/2020,        D,        1.64%,       1.61%,       0.61%,       NaN,        3.95%,       13.65%
$PXD,        11/23/2020,        D,        6.56%,       -3.75%,       8.25%,       NaN,        10.34%,       22.17%
$TSLA,        11/23/2020,        D,        6.43%,       8.77%,       23.79%,       NaN,        27.88%,       24.06%
$UAL,        11/23/2020,        D,        9.85%,       10.07%,       7.77%,       NaN,        -0.17%,       7.68%
$ULTA,        11/23/2020,        D,        0.65%,       -2.64%,       -5.09%,       NaN,        2.75%,       20.31%
$UTZ,        11/23/2020,        I,        3.02%,       3.22%,       14.48%,       NaN,        3.33%,       10.58%
$V,        11/23/2020,        D,        0.73%,       1.05%,       -1.37%,       NaN,        -2.13%,       5.13%
$WMT,        11/23/2020,        D,        0.28%,       1.23%,       -5.11%,       NaN,        -0.99%,       4.92%
$ADI,        11/20/2020,        D,        1.62%,       2.13%,       5.72%,       NaN,        -1.02%,       8.11%
$AEO,        11/20/2020,        D,        7.32%,       9.21%,       14.46%,       NaN,        12.11%,       22.75%
$BA,        11/20/2020,        L,        5.97%,       8.46%,       9.86%,       NaN,        6.69%,       21.82%
$BBY,        11/20/2020,        D,        2.43%,       -5.46%,       -13.3%,       NaN,        4.23%,       0.38%
$BMY,        11/20/2020,        L,        0.5%,       2.34%,       0.65%,       NaN,        -3.16%,       2.63%
$DE,        11/20/2020,        D,        0.99%,       1.31%,       3.55%,       NaN,        2.69%,       9.37%
$DELL,        11/20/2020,        D,        1.52%,       2.17%,       6.91%,       NaN,        3.37%,       -2.13%
$DG,        11/20/2020,        D,        0.39%,       3.7%,       0.35%,       NaN,        -1.72%,       -4.38%
$GPS,        11/20/2020,        D,        6.93%,       -10.75%,       -16.29%,       NaN,        10.42%,       30.95%
$HRL,        11/20/2020,        D,        -0.2%,       -5.84%,       -4.97%,       NaN,        -3.87%,       1.75%
$NCNO,        11/20/2020,        L,        2.38%,       5.41%,       2.33%,       NaN,        5.87%,       -5.22%
$RMD,        11/20/2020,        I,        -0.69%,       -0.65%,       1.16%,       NaN,        -1.73%,       17.8%
$RTX,        11/20/2020,        L,        4.13%,       5.95%,       -0.13%,       NaN,        5.46%,       15.59%
$VMW,        11/20/2020,        D,        0.77%,       -3.87%,       -3.77%,       NaN,        4.19%,       -1.26%
$WSM,        11/20/2020,        I,        4.52%,       2.07%,       1.16%,       NaN,        15.12%,       9.26%
$ZBRA,        11/20/2020,        I,        2.17%,       6.2%,       5.89%,       NaN,        2.64%,       21.63%
$COST,        11/19/2020,        D,        -0.63%,       1.26%,       -4.84%,       NaN,        2.08%,       1.38%
$CSCO,        11/19/2020,        L,        -0.49%,       3.72%,       9.01%,       NaN,        6.46%,       5.03%
$FREQ,        11/19/2020,        L,        8.49%,       18.92%,       31.1%,       NaN,        -2.97%,       16.89%
$HD,        11/19/2020,        D,        -0.41%,       1.87%,       0.02%,       NaN,        -1.92%,       -5.28%
$NOW,        11/19/2020,        D,        0.73%,       2.56%,       7.09%,       NaN,        0.89%,       -0.74%
$OKTA,        11/19/2020,        D,        0.09%,       1.54%,       18.54%,       NaN,        3.65%,       0.33%
$PLUG,        11/19/2020,        L,        2.4%,       10.3%,       36.07%,       NaN,        1.45%,       46.04%
$PYPL,        11/19/2020,        D,        0.93%,       10.73%,       24.53%,       NaN,        0.95%,       -5.48%
$RNG,        11/19/2020,        D,        -0.82%,       -1.4%,       32.45%,       NaN,        -2.54%,       0.73%
$ROKU,        11/19/2020,        D,        2.92%,       7.69%,       38.46%,       NaN,        10.73%,       17.07%
$SQ,        11/19/2020,        D,        2.25%,       10.88%,       21.83%,       NaN,        7.37%,       3.19%
$TCS,        11/19/2020,        I,        6.94%,       -7.71%,       -3.56%,       NaN,        4.01%,       3.28%
$TGT,        11/19/2020,        D,        0.55%,       4.9%,       0.23%,       NaN,        7.42%,       3.94%
$TSLA,        11/19/2020,        D,        -1.93%,       17.32%,       30.16%,       NaN,        21.25%,       18.33%
$TWLO,        11/19/2020,        D,        0.9%,       7.92%,       23.4%,       NaN,        3.49%,       -4.44%
$WDAY,        11/19/2020,        I,        -9.27%,       -3.01%,       4.99%,       NaN,        5.0%,       2.84%
$WKHS,        11/19/2020,        L,        13.17%,       19.32%,       -9.31%,       NaN,        11.01%,       11.15%
$WSM,        11/19/2020,        D,        6.6%,       8.81%,       7.84%,       NaN,        9.4%,       -1.69%
$BHVN,        11/18/2020,        I,        -1.51%,       -8.77%,       -6.66%,       NaN,        5.66%,       26.78%
$CVNA,        11/18/2020,        L,        1.26%,       6.24%,       18.76%,       NaN,        8.17%,       4.91%
$DKNG,        11/18/2020,        L,        3.44%,       5.35%,       13.05%,       NaN,        14.51%,       6.95%
$F,        11/18/2020,        D,        0.0%,       2.95%,       1.47%,       NaN,        5.88%,       16.21%
$GE,        11/18/2020,        D,        -0.72%,       7.91%,       11.1%,       NaN,        9.45%,       33.47%
$LAD,        11/18/2020,        L,        2.68%,       10.13%,       3.74%,       NaN,        2.91%,       2.67%
$PLUG,        11/18/2020,        F,        2.45%,       12.66%,       36.22%,       NaN,        0.96%,       41.67%
$TDOC,        11/18/2020,        I,        5.12%,       4.79%,       7.96%,       NaN,        -0.37%,       -18.7%
$TXN,        11/18/2020,        L,        2.42%,       2.64%,       6.85%,       NaN,        -1.38%,       1.85%
$WYNN,        11/18/2020,        L,        3.25%,       4.98%,       21.21%,       NaN,        4.29%,       37.28%
$AMAT,        11/17/2020,        F,        1.8%,       11.54%,       17.65%,       NaN,        7.18%,       18.05%
$BA,        11/17/2020,        D,        -3.21%,       4.02%,       5.33%,       NaN,        11.32%,       25.52%
$FB,        11/17/2020,        L,        -1.1%,       0.7%,       -0.19%,       NaN,        0.94%,       3.41%
$HON,        11/17/2020,        D,        -2.06%,       1.25%,       3.22%,       NaN,        1.66%,       17.43%
$KLAC,        11/17/2020,        F,        -0.62%,       3.44%,       7.38%,       NaN,        8.09%,       16.05%
$LRCX,        11/17/2020,        F,        -0.37%,       3.36%,       12.57%,       NaN,        5.9%,       18.35%
$RIDE,        11/17/2020,        I,        11.34%,       10.81%,       -22.19%,       NaN,        47.37%,       7.25%
$ROK,        11/17/2020,        I,        1.73%,       6.42%,       2.43%,       NaN,        -3.1%,       -3.1%
$COST,        11/16/2020,        D,        0.56%,       0.51%,       -2.73%,       NaN,        4.05%,       -0.46%
$CRSR,        11/16/2020,        I,        6.08%,       49.77%,       23.83%,       NaN,        14.97%,       57.6%
$CVS,        11/16/2020,        D,        -8.62%,       -9.11%,       -5.65%,       NaN,        8.8%,       23.29%
$DIS,        11/16/2020,        D,        -0.12%,       0.91%,       19.67%,       NaN,        1.46%,       14.08%
$DRI,        11/16/2020,        D,        -1.41%,       -0.45%,       5.82%,       NaN,        -8.69%,       11.26%
$GLW,        11/16/2020,        D,        -1.35%,       -0.95%,       -2.0%,       NaN,        3.64%,       5.12%
$HON,        11/16/2020,        D,        -1.56%,       -1.92%,       0.82%,       NaN,        5.89%,       19.29%
$MCK,        11/16/2020,        D,        -5.46%,       -5.54%,       -6.16%,       NaN,        2.88%,       17.23%
$PANW,        11/16/2020,        I,        5.46%,       6.3%,       16.1%,       NaN,        10.46%,       13.05%
$UPS,        11/16/2020,        D,        0.26%,       -1.09%,       1.0%,       NaN,        3.2%,       -3.44%
$VIAC,        11/16/2020,        L,        1.22%,       8.53%,       12.51%,       NaN,        9.81%,       14.17%
$WHR,        11/16/2020,        L,        1.31%,       5.34%,       -0.8%,       NaN,        4.38%,       -6.43%
$BILL,        11/13/2020,        I,        1.28%,       14.76%,       50.15%,       NaN,        -6.72%,       -20.52%
$FRT,        11/13/2020,        L,        4.83%,       1.48%,       0.45%,       NaN,        28.35%,       16.96%
$GOLD,        11/13/2020,        L,        -0.12%,       -6.22%,       -13.33%,       NaN,        -10.32%,       -8.55%
$GRWG,        11/13/2020,        I,        4.11%,       14.26%,       28.49%,       NaN,        11.05%,       46.33%
$HD,        11/13/2020,        D,        0.87%,       -2.66%,       -4.18%,       NaN,        -2.49%,       -3.46%
$LHX,        11/13/2020,        L,        2.93%,       -1.44%,       -2.24%,       NaN,        8.58%,       10.18%
$LOW,        11/13/2020,        D,        1.68%,       -5.84%,       0.54%,       NaN,        -5.51%,       -8.28%
$NCLH,        11/13/2020,        L,        6.23%,       -0.35%,       26.67%,       NaN,        18.21%,       21.72%
$NKE,        11/13/2020,        D,        1.43%,       3.66%,       6.24%,       NaN,        -0.48%,       0.49%
$NVDA,        11/13/2020,        D,        1.64%,       -1.57%,       0.09%,       NaN,        -8.69%,       -5.66%
$PANW,        11/13/2020,        D,        7.65%,       12.88%,       21.48%,       NaN,        3.47%,       1.02%
$SPG,        11/13/2020,        L,        5.7%,       8.59%,       16.89%,       NaN,        20.76%,       13.66%
$TGT,        11/13/2020,        D,        1.41%,       5.79%,       4.98%,       NaN,        0.85%,       -0.66%
$TSLA,        11/13/2020,        D,        -0.1%,       19.86%,       56.63%,       NaN,        -4.99%,       -11.45%
$VG,        11/13/2020,        L,        1.17%,       1.17%,       2.33%,       NaN,        1.26%,       21.53%
$WMT,        11/13/2020,        D,        1.26%,       -0.2%,       -3.25%,       NaN,        3.27%,       4.59%
$WYNN,        11/13/2020,        L,        2.77%,       3.36%,       16.65%,       NaN,        15.14%,       28.58%
$AMD,        11/12/2020,        L,        -0.5%,       4.52%,       15.81%,       NaN,        -1.4%,       -4.03%
